filepath,emotion
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-05-01-02-01-16.wav,angry
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-06-01-02-02-16.wav,fearful
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-06-02-01-02-16.wav,fearful
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-05-02-01-01-16.wav,angry
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-07-01-01-01-16.wav,disgust
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-04-01-01-02-16.wav,sad
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-04-02-02-02-16.wav,sad
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-07-02-02-01-16.wav,disgust
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-08-02-02-01-16.wav,surprised
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-08-01-01-01-16.wav,surprised
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-03-02-02-02-16.wav,happy
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-03-01-01-02-16.wav,happy
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-02-02-01-01-16.wav,calm
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-01-01-02-02-16.wav,neutral
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-02-01-02-01-16.wav,calm
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-03-02-01-01-16.wav,happy
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-03-01-02-01-16.wav,happy
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-02-02-02-02-16.wav,calm
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-02-01-01-02-16.wav,calm
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-01-01-01-01-16.wav,neutral
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-06-01-01-01-16.wav,fearful
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-05-01-01-02-16.wav,angry
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-05-02-02-02-16.wav,angry
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-06-02-02-01-16.wav,fearful
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-04-01-02-01-16.wav,sad
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-07-01-02-02-16.wav,disgust
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-07-02-01-02-16.wav,disgust
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-04-02-01-01-16.wav,sad
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-08-02-01-02-16.wav,surprised
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-08-01-02-02-16.wav,surprised
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-02-01-02-02-16.wav,calm
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-01-01-02-01-16.wav,neutral
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-02-02-01-02-16.wav,calm
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-03-01-01-01-16.wav,happy
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-03-02-02-01-16.wav,happy
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-07-02-02-02-16.wav,disgust
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-04-02-02-01-16.wav,sad
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-04-01-01-01-16.wav,sad
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-07-01-01-02-16.wav,disgust
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-05-02-01-02-16.wav,angry
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-06-02-01-01-16.wav,fearful
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-06-01-02-01-16.wav,fearful
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-05-01-02-02-16.wav,angry
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-08-01-01-02-16.wav,surprised
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-08-02-02-02-16.wav,surprised
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-04-02-01-02-16.wav,sad
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-07-02-01-01-16.wav,disgust
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-07-01-02-01-16.wav,disgust
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-04-01-02-02-16.wav,sad
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-06-02-02-02-16.wav,fearful
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-05-02-02-01-16.wav,angry
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-05-01-01-01-16.wav,angry
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-06-01-01-02-16.wav,fearful
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-08-01-02-01-16.wav,surprised
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-08-02-01-01-16.wav,surprised
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-01-01-01-02-16.wav,neutral
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-02-01-01-01-16.wav,calm
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-02-02-02-01-16.wav,calm
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-03-01-02-02-16.wav,happy
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_16/03-01-03-02-01-02-16.wav,happy
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-01-01-02-02-11.wav,neutral
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-02-01-02-01-11.wav,calm
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-02-02-01-01-11.wav,calm
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-03-01-01-02-11.wav,happy
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-03-02-02-02-11.wav,happy
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-04-02-02-02-11.wav,sad
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-07-02-02-01-11.wav,disgust
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-07-01-01-01-11.wav,disgust
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-04-01-01-02-11.wav,sad
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-06-02-01-02-11.wav,fearful
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-05-02-01-01-11.wav,angry
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-05-01-02-01-11.wav,angry
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-06-01-02-02-11.wav,fearful
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-08-01-01-01-11.wav,surprised
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-08-02-02-01-11.wav,surprised
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-07-02-01-02-11.wav,disgust
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-04-02-01-01-11.wav,sad
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-04-01-02-01-11.wav,sad
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-07-01-02-02-11.wav,disgust
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-05-02-02-02-11.wav,angry
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-06-02-02-01-11.wav,fearful
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-06-01-01-01-11.wav,fearful
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-05-01-01-02-11.wav,angry
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-08-01-02-02-11.wav,surprised
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-08-02-01-02-11.wav,surprised
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-02-01-01-02-11.wav,calm
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-01-01-01-01-11.wav,neutral
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-02-02-02-02-11.wav,calm
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-03-01-02-01-11.wav,happy
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-03-02-01-01-11.wav,happy
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-06-01-02-01-11.wav,fearful
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-05-01-02-02-11.wav,angry
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-05-02-01-02-11.wav,angry
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-06-02-01-01-11.wav,fearful
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-04-01-01-01-11.wav,sad
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-07-01-01-02-11.wav,disgust
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-07-02-02-02-11.wav,disgust
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-04-02-02-01-11.wav,sad
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-08-02-02-02-11.wav,surprised
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-08-01-01-02-11.wav,surprised
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-03-02-02-01-11.wav,happy
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-03-01-01-01-11.wav,happy
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-02-02-01-02-11.wav,calm
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-02-01-02-02-11.wav,calm
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-01-01-02-01-11.wav,neutral
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-03-02-01-02-11.wav,happy
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-03-01-02-02-11.wav,happy
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-02-02-02-01-11.wav,calm
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-01-01-01-02-11.wav,neutral
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-02-01-01-01-11.wav,calm
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-05-01-01-01-11.wav,angry
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-06-01-01-02-11.wav,fearful
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-06-02-02-02-11.wav,fearful
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-05-02-02-01-11.wav,angry
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-07-01-02-01-11.wav,disgust
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-04-01-02-02-11.wav,sad
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-04-02-01-02-11.wav,sad
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-07-02-01-01-11.wav,disgust
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-08-02-01-01-11.wav,surprised
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_11/03-01-08-01-02-01-11.wav,surprised
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_18/03-01-03-02-01-02-18.wav,happy
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_18/03-01-03-01-02-02-18.wav,happy
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_18/03-01-02-02-02-01-18.wav,calm
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_18/03-01-02-01-01-01-18.wav,calm
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_18/03-01-01-01-01-02-18.wav,neutral
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_18/03-01-06-01-01-02-18.wav,fearful
/Users/naman4/EchoNava-Model/src/../data/archive/Actor_18/03-01-05-01-01-01-18.wav,angry
